序号|SERIAL,代码|SECURITY_CODE,名称|SECURITY_SHORT_NAME,市场简称|MARKET_SHORT_NAME,最新价|NEWEST_PRICE|2026.05.15|元,涨跌幅|CHG|2026.05.15|%,市场码|MARKET_NUM,上市板块|TRADEMARKET,是否ST|IFSTSTOCK{2026-05-15}|2026.05.15,证券类型|SECURITYTYPE,13日均线(季线)|13日JX<100>{2026-05-15}|2026.05.15|元,21日均线(季线)|21日JX<100>{2026-05-15}|2026.05.15|元,34日均线(季线)|34日JX<100>{2026-05-15}|2026.05.15|元,收盘价(季线)|NEWEST_PRICE<100>|2026.05.15|元,总市值(日线不复权)|TOAL_MARKET_VALUE<140>|2026.05.15|元,收盘价(日线不复权)|NEWEST_PRICE<140>|2026.05.15|元,市盈率(TTM)(倍)|PETTM{2026-05-15}|2026.05.15|倍,市净率(倍)|PB|2026.05.15|倍,市盈率百分位|PE_TTM_PERCENTILE{2026-05-15}|2026.05.15|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-14}|2026.05.14|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-13}|2026.05.13|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-12}|2026.05.12|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-11}|2026.05.11|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-15}|2026.05.15|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-14}|2026.05.14|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-13}|2026.05.13|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-12}|2026.05.12|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-15}|2026.05.15|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-14}|2026.05.14|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-13}|2026.05.13|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-12}|2026.05.12|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-29}|2026.04.29|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-28}|2026.04.28|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-27}|2026.04.27|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-24}|2026.04.24|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-15}|2025.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-14}|2025.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-11}|2025.07.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-10}|2025.07.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-13}|2025.06.13|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-12}|2025.06.12|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-11}|2025.06.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-10}|2025.06.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-03}|2025.06.03|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-30}|2025.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-29}|2025.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-28}|2025.05.28|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-06}|2021.08.06|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-05}|2021.08.05|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-04}|2021.08.04|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-03}|2021.08.03|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-16}|2021.07.16|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-15}|2021.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-14}|2021.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-13}|2021.07.13|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-24}|2020.07.24|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-23}|2020.07.23|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-22}|2020.07.22|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-21}|2020.07.21|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-31}|2019.05.31|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-30}|2019.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-29}|2019.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-28}|2019.05.28|%,销售毛利率|XSMLL{2025-12-31}|2025.12.31|%,销售毛利率|XSMLL{2024-12-31}|2024.12.31|%,销售毛利率|XSMLL{2023-12-31}|2023.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2025-12-31}|2025.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2024-12-31}|2024.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2023-12-31}|2023.12.31|%,营业收入同比增长率(%)|营业收入[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,营业收入|OPERATEREVE{2025-12-31}|2025.12.31|元,营业收入|OPERATEREVE{2024-12-31}|2024.12.31|元,营业收入|OPERATEREVE{2023-12-31}|2023.12.31|元,营业收入|OPERATEREVE{2022-12-31}|2022.12.31|元,归属母公司股东的净利润同比增长率(%)|归属母公司股东的净利润[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,归属净利润|PARENT_NETPROFIT{2025-12-31}|2025.12.31|元,归属净利润|PARENT_NETPROFIT{2024-12-31}|2024.12.31|元,归属净利润|PARENT_NETPROFIT{2023-12-31}|2023.12.31|元,归属净利润|PARENT_NETPROFIT{2022-12-31}|2022.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2025-12-31}|2025.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2024-12-31}|2024.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2023-12-31}|2023.12.31|元,资产负债率|DEBT_ASSET_RATIO{2026-05-16}|截至2026.05.16最新|%,有息负债率|INTERESTDEBTRATIO{2026-05-16}|截至2026.05.16最新|%,东财行业分类二级|INDUSTRY,东财行业总分类|INDUSTRY_ALL,申万行业分类|SW_INDUSTRY,概念|STYLE_CONCEPT,主营业务|MAIN_BUSINESS,收盘价(季线不复权)|NEWEST_PRICE<170>|2026.05.15|元,涨跌幅(季线)|CHG<100>|2026.05.15|%,涨跌幅(季线)|CHG<100>{2026-03-31}|2026.03.31|%,涨跌幅(季线)|CHG<100>{2025-12-31}|2025.12.31|%,涨跌幅(季线)|CHG<100>{2025-12-29}|2025.12.29|%,涨跌幅(季线)|CHG<100>{2025-09-30}|2025.09.30|%,成交额(季线)|TRADING_VOLUMES<100>|2026.05.15|元,成交额(季线)|TRADING_VOLUMES<100>{2026-03-31}|2026.03.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-31}|2025.12.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-29}|2025.12.29|元,成交额(季线)|TRADING_VOLUMES<100>{2025-09-30}|2025.09.30|元,换手率(季线)|TURNOVER_RATE<100>|2026.05.15|%,换手率(季线)|TURNOVER_RATE<100>{2026-03-31}|2026.03.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-31}|2025.12.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-29}|2025.12.29|%,换手率(季线)|TURNOVER_RATE<100>{2025-09-30}|2025.09.30|%,成交量(股)(季线)|VOLUME<100>{2025-12-31}|2025.12.31|股,成交量(股)(季线)|VOLUME<100>{2025-12-29}|2025.12.29|股,成交量(股)(季线)|VOLUME<100>{2025-09-30}|2025.09.30|股,成交量(股)(季线)|VOLUME<100>{2025-06-30}|2025.06.30|股,成交量(股)(季线)|VOLUME<100>{2025-03-31}|2025.03.31|股,涨跌额|PCHG|2026.05.15|元,最高价(日线不复权)|PEAK_PRICE<140>|2026.05.15|元,最低价(日线不复权)|BOTTOM_PRICE<140>|2026.05.15|元,换手率|TURNOVER_RATE|2026.05.15|%,量比|QRR|2026.05.15,成交量(股)|VOLUME|2026.05.15|股,成交额|TRADING_VOLUMES|2026.05.15|元,市盈率(动)(倍)|PE_DYNAMIC|2026.05.15|倍,流通市值(日线不复权)|CIRCULATION_MARKET_VALUE<140>|2026.05.15|元,IN_OPTIONAL,XSMLL{2023-12-31|2025-12-31|3|四季度}
60,600050,中国联通,SH,4.66,-1.27,1,上交所主板,否,A股,4.78,4.31,4.44,4.66,1456.92亿,4.66,16.83,0.85,11.22,12.15,12.48,10.95,12.12,5.86,6.76,7.28,5.73,6.72,3.72,3.67,3.66,3.73,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.54|2025年报,23.42|2024年报,24.52|2023年报,5.39|2025年报,5.49|2024年报,5.08|2023年报,0.68,3922.23亿|2025年报,3895.89亿|2024年报,3725.97亿|2023年报,3549.44亿|2022年报,1.07,91.27亿|2025年报,90.30亿|2024年报,81.73亿|2023年报,72.99亿|2022年报,914.11亿|2025年报,912.55亿|2024年报,1043.42亿|2023年报,43.11|2026一季报,11.43|2026一季报,通信服务,通信-通信服务-电信运营商,通信-通信服务-电信运营商,【5G概念】【HS300_】【IPv6】【MSCI中国】【WiFi】【上证180_】【上证50_】【中字头】【中特估】【价值股】【区块链】【华为概念】【卫星互联网】【参股银行】【大数据】【大盘价值】【大盘股】【央国企改革】【富时罗素】【数据中心】【数据安全】【数据要素】【标准普尔】【沪股通】【物联网】【破净股】【破增发价股】【移动支付】【算力概念】【融资融券】【超清视频】【通信技术】【量子科技】【阿里概念】,"本公司以“数字信息基础设施运营服务国家队、网络强国数字中国智慧社会建设主力军、数字技术融合创新排头兵”为定位,把战略升级为“强基固本、守正创新、融合开放”,更加突出强网络之基、固服务之本,练好“基本功”;更加突出守网络化之正,拓数字化、智能化之新,打好“组合拳”;更加突出要素融合、市场融通,与合作伙伴一起打好“团体赛”。在新定位新战略下,本公司全面发力数字经济主航道,将“大联接、大计算、大数据、大应用、大安全”作为主责主业,实现发展动力、路径和方式的全方位转型升级,开辟新的发展空间,提升客户价值,更好服务和融入新发展格局。",4.66,4.72,-12.92,-5.19,-,3.06,248.49亿,718.60亿,643.27亿,-,1526.01亿,17.51,46.48,38.66,-,89.26,118.96亿,-,274.61亿,134.92亿,326.69亿,-0.06,4.77,4.63,0.74,0.67,2.30亿,10.78亿,17.04,1444.15亿,false,
61,000568,泸州老窖,SZ,91.00,-3.55,0,深交所主板,否,A股,138.35,166.59,131.36,91.00,1339.47亿,91.00,13.47,2.60,11.84,13.79,13.02,14.05,15.44,11.49,13.14,12.46,13.28,14.30,6.54,6.31,6.42,6.28,6.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.62|2025年报,87.54|2024年报,88.30|2023年报,22.66|2025年报,30.44|2024年报,35.07|2023年报,-17.52,257.31亿|2025年报,311.96亿|2024年报,302.33亿|2023年报,251.24亿|2022年报,-19.61,108.31亿|2025年报,134.73亿|2024年报,132.46亿|2023年报,103.65亿|2022年报,71.23亿|2025年报,191.82亿|2024年报,106.48亿|2023年报,21.81|2026一季报,46.33|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【HS300_】【IPO受益】【MSCI中国】【价值股】【农业种植】【参股券商】【味蕾经济】【基金重仓】【大盘价值】【大盘股】【央国企改革】【富时罗素】【成渝特区】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【白酒】【茅指数】【融资融券】【西部大开发】【证金持股】【超级品牌】【酿酒概念】,泸州老窖系列酒的生产、销售。,91.00,-13.07,-8.86,-12.03,-,21.51,255.30亿,720.67亿,699.48亿,-,922.37亿,17.44,42.77,36.27,-,48.77,5.33亿,-,7.17亿,5.40亿,6.58亿,-3.35,93.20,90.75,0.93,1.19,1369.78万,12.53亿,9.03,1338.84亿,false,
62,600809,山西汾酒,SH,131.41,-1.97,1,上交所主板,否,A股,190.29,226.08,167.76,131.41,1603.16亿,131.41,14.60,3.56,3.05,3.19,3.18,3.30,3.63,22.66,24.76,24.52,27.25,29.83,2.74,2.69,2.69,2.63,2.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.85|2025年报,76.20|2024年报,75.31|2023年报,33.48|2025年报,39.68|2024年报,43.06|2023年报,7.52,387.18亿|2025年报,360.11亿|2024年报,319.28亿|2023年报,262.14亿|2022年报,0.03,122.46亿|2025年报,122.43亿|2024年报,104.38亿|2023年报,80.96亿|2022年报,90.14亿|2025年报,121.72亿|2024年报,72.25亿|2023年报,29.26|2026一季报,0.13|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【HS300_】【MSCI中国】【上证180_】【上证50_】【味蕾经济】【基金重仓】【大盘股】【央国企改革】【富时罗素】【标准普尔】【沪股通】【白酒】【百元股】【融资融券】【酿酒概念】,汾酒、竹叶青酒、杏花村系列酒的生产、销售,131.41,-8.14,-16.68,-11.50,-,12.28,296.09亿,630.73亿,547.57亿,-,930.18亿,17.38,31.00,23.82,-,40.19,2.91亿,-,4.90亿,3.49亿,3.47亿,-2.64,133.58,130.33,0.62,0.83,752.45万,9.88亿,7.45,1603.16亿,false,
63,000858,五 粮 液,SZ,86.87,-2.38,0,深交所主板,否,A股,124.32,148.15,135.10,86.87,3371.95亿,86.87,26.76,2.63,58.96,61.32,61.44,62.74,63.65,16.73,17.66,17.71,18.06,18.80,6.62,6.46,6.45,6.35,6.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.54|2025年报,77.05|2024年报,75.79|2023年报,6.89|2025年报,23.35|2024年报,25.06|2023年报,-54.55,405.29亿|2025年报,891.75亿|2024年报,832.72亿|2023年报,739.69亿|2022年报,-71.89,89.54亿|2025年报,318.53亿|2024年报,302.11亿|2023年报,266.90亿|2022年报,297.06亿|2025年报,339.40亿|2024年报,417.42亿|2023年报,34.31|2026一季报,0.65|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【HS300_】【MSCI中国】【参股银行】【味蕾经济】【大盘价值】【大盘股】【央国企改革】【富时罗素】【成渝特区】【新零售】【机构重仓】【权重股】【标准普尔】【深成500】【深股通】【深证100R】【电商概念】【白酒】【茅指数】【融资融券】【西部大开发】【证金持股】【超级品牌】【酿酒概念】,白酒生产和销售,86.87,-15.88,-2.52,-10.90,-,5.08,629.42亿,1259.32亿,1224.18亿,-,1790.26亿,16.99,30.84,26.98,-,36.93,10.47亿,-,14.34亿,11.02亿,12.07亿,-2.12,88.08,86.62,0.93,0.96,3611.79万,31.46亿,10.46,3371.87亿,false,
64,601881,中国银河,SH,12.42,-2.13,1,上交所主板,否,A股,13.52,11.79,10.67,12.42,1358.05亿,12.42,10.59,1.12,10.59,11.44,12.46,12.78,12.92,9.57,13.12,16.94,17.75,18.60,2.58,2.53,2.48,2.47,2.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.84|2025年报,8.30|2024年报,7.52|2023年报,24.34,283.02亿|2025年报,227.62亿|2024年报,336.44亿|2023年报,336.42亿|2022年报,24.81,125.20亿|2025年报,100.31亿|2024年报,78.79亿|2023年报,77.68亿|2022年报,249.36亿|2025年报,347.97亿|2024年报,-442.61亿|2023年报,84.08|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【AH股】【HS300_】【MSCI中国】【上证180_】【中字头】【中特估】【券商概念】【周期股】【大盘股】【央国企改革】【富时罗素】【机构重仓】【标准普尔】【沪股通】【科创板做市商】【融资融券】【证金持股】,财富管理业务、投资银行业务、机构业务、国际业务、投资交易业务和其他母子公司一体化业务,12.42,-2.51,-18.96,-10.93,-,4.87,152.17亿,357.35亿,382.62亿,-,735.42亿,16.40,33.12,31.22,-,57.54,22.61亿,-,41.68亿,39.64亿,59.22亿,-0.27,12.72,12.37,0.58,0.88,4196.48万,5.25亿,10.23,899.63亿,false,-
65,600905,三峡能源,SH,4.11,-1.20,1,上交所主板,否,A股,4.38,5.02,-,4.11,1174.95亿,4.11,50.91,1.31,99.33,99.58,99.83,99.83,99.83,1.34,4.03,7.98,5.97,4.46,1.63,1.61,1.57,1.60,1.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.81|2025年报,52.62|2024年报,55.11|2023年报,4.23|2025年报,7.22|2024年报,8.99|2023年报,-4.43,283.99亿|2025年报,297.17亿|2024年报,265.02亿|2023年报,238.12亿|2022年报,-39.20,37.14亿|2025年报,61.10亿|2024年报,71.74亿|2023年报,71.14亿|2022年报,209.38亿|2025年报,188.95亿|2024年报,144.28亿|2023年报,71.97|2026一季报,73.14|2026一季报,电力,公用事业-电力-风力发电,公用事业-电力-风力发电,【HS300_】【MSCI中国】【上证180_】【储能概念】【光伏概念】【大盘价值】【大盘股】【央国企改革】【新能源】【沪股通】【电池技术】【碳交易】【绿色电力】【融资融券】【钠离子电池】【风能】,风能、太阳能的开发、投资和运营,4.11,-3.52,4.16,-3.76,-,1.43,193.08亿,519.73亿,307.11亿,-,378.24亿,16.31,42.36,25.24,-,30.74,72.15亿,-,87.89亿,62.00亿,51.59亿,-0.05,4.16,4.11,0.65,0.79,1.87亿,7.72亿,28.24,1174.95亿,false,
66,601456,国联民生,SH,9.33,-1.58,1,上交所主板,否,A股,10.52,11.11,-,9.33,530.00亿,9.33,24.89,0.99,0.00,0.07,0.93,0.86,0.72,1.43,1.93,3.07,3.00,2.86,0.60,0.59,0.58,0.58,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.16|2025年报,2.19|2024年报,3.89|2023年报,185.99,76.73亿|2025年报,26.83亿|2024年报,29.55亿|2023年报,26.23亿|2022年报,405.49,20.09亿|2025年报,3.97亿|2024年报,6.71亿|2023年报,7.67亿|2022年报,-54.45亿|2025年报,140.57亿|2024年报,-7.14亿|2023年报,77.28|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【2025年报预增】【AH股】【HS300_】【MSCI中国】【上证180_】【互联网金融】【券商概念】【大盘成长】【大盘股】【央国企改革】【并购重组概念】【机构重仓】【沪股通】【破净股】【破增发价股】【融资融券】,经纪及财富管理业务、投资银行业务、资产管理及投资业务、信用交易业务及证券投资业务。,9.33,2.75,-10.72,-8.95,-,8.55,66.34亿,185.06亿,223.69亿,-,385.69亿,16.10,43.47,79.93,-,129.49,20.76亿,-,33.64亿,15.73亿,25.57亿,-0.15,9.54,9.28,0.61,1.13,2660.16万,2.50亿,26.67,408.37亿,false,-
67,601006,大秦铁路,SH,5.42,1.31,1,上交所主板,否,A股,6.14,5.74,5.40,5.42,1091.98亿,5.42,19.11,0.66,83.90,83.69,83.83,83.89,83.80,1.93,1.54,1.79,1.87,1.67,4.06,4.11,4.07,4.06,4.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.62|2025年报,15.30|2024年报,20.66|2023年报,3.64|2025年报,6.10|2024年报,9.09|2023年报,4.04,776.45亿|2025年报,746.27亿|2024年报,810.20亿|2023年报,757.58亿|2022年报,-34.73,59.00亿|2025年报,90.39亿|2024年报,119.30亿|2023年报,111.96亿|2022年报,49.87亿|2025年报,93.17亿|2024年报,172.46亿|2023年报,14.06|2026一季报,46.18|2026一季报,铁路公路,交通运输-铁路公路-铁路运输,交通运输-铁路公路-铁路运输,【HS300_】【MSCI中国】【上证180_】【中特估】【大盘价值】【大盘股】【央国企改革】【富时罗素】【标准普尔】【沪股通】【破净股】【红利破净股】【红利股】【融资融券】【证金持股】【铁路基建】【长期破净】,"主要经营铁路客、货运输业务,同时向国内其他铁路运输企业提供服务。",5.42,1.12,3.88,-11.19,-,-8.93,170.48亿,539.15亿,356.43亿,-,357.28亿,15.97,51.85,31.45,-,27.78,63.35亿,-,55.98亿,40.44亿,49.50亿,0.07,5.43,5.33,0.66,0.96,1.34亿,7.21亿,11.45,1091.98亿,false,
68,601618,中国中冶,SH,2.89,-0.69,1,上交所主板,否,A股,3.20,3.23,2.99,2.89,598.91亿,2.89,44.45,0.58,98.86,98.94,99.08,99.21,99.21,0.57,1.02,2.18,2.38,2.35,1.94,1.92,1.89,1.89,1.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.09|2025年报,9.69|2024年报,9.69|2023年报,0.05|2025年报,4.87|2024年报,7.23|2023年报,-17.51,4553.80亿|2025年报,5520.25亿|2024年报,6338.70亿|2023年报,5926.69亿|2022年报,-80.41,13.22亿|2025年报,67.46亿|2024年报,86.70亿|2023年报,102.76亿|2022年报,153.23亿|2025年报,78.48亿|2024年报,58.92亿|2023年报,77.48|2026一季报,14.42|2026一季报,专业工程,建筑装饰-专业工程-其他专业工程,建筑装饰-专业工程-其他专业工程,【2025年报预减】【AH股】【HS300_】【MSCI中国】【PPP模式】【一带一路】【上证180_】【中字头】【中特估】【低价股】【低碳冶金】【光伏概念】【大盘价值】【大盘股】【央国企改革】【富时罗素】【工程建设】【标准普尔】【沪股通】【破净股】【破发股】【破增发价股】【节能环保】【融资融券】【行业龙头】【装配建筑】【长期破净】,工程承包、资源开发、装备制造、房地产开发及其他业务。,2.89,-3.67,1.01,-22.86,-,31.85,83.82亿,475.51亿,497.17亿,-,307.71亿,15.85,84.79,80.63,-,52.50,143.94亿,-,93.72亿,39.45亿,42.71亿,-0.02,2.92,2.88,0.65,1.01,1.16亿,3.37亿,9.17,515.94亿,false,
69,601995,中金公司,SH,33.64,-1.90,1,上交所主板,否,A股,34.59,38.48,-,33.64,1623.89亿,33.64,14.34,1.58,0.00,0.07,0.45,0.37,0.30,4.92,6.42,7.39,7.32,7.26,0.54,0.52,0.52,0.52,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.39|2025年报,5.52|2024年报,6.43|2023年报,33.50,284.81亿|2025年报,213.33亿|2024年报,229.90亿|2023年报,260.87亿|2022年报,71.93,97.91亿|2025年报,56.94亿|2024年报,61.56亿|2023年报,75.98亿|2022年报,710.76亿|2025年报,418.74亿|2024年报,-105.84亿|2023年报,84.14|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【2025年报预增】【2026一季报预增】【AH股】【HS300_】【MSCI中国】【上证180_】【互联网金融】【券商概念】【周期股】【大盘股】【富时罗素】【并购重组概念】【沪股通】【融资融券】【证金持股】,投资银行、股票业务、固定收益、资产管理、私募股权、财富管理及相关金融服务,33.64,3.86,-7.46,-4.89,-,4.60,154.90亿,433.48亿,410.77亿,-,653.54亿,15.63,42.62,38.11,-,60.20,11.14亿,-,17.60亿,9.58亿,14.34亿,-0.65,34.37,33.40,0.61,1.03,1795.67万,6.07亿,11.35,983.48亿,false,-
70,000001,平安银行,SZ,10.99,-0.54,0,深交所主板,否,A股,10.38,11.62,11.55,10.99,2132.71亿,10.99,4.95,0.46,5.66,5.89,6.19,6.51,6.60,0.48,0.57,0.82,1.23,1.39,5.44,5.41,5.37,5.32,5.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.15|2025年报,10.08|2024年报,11.38|2023年报,-10.40,1314.42亿|2025年报,1466.95亿|2024年报,1646.99亿|2023年报,1798.95亿|2022年报,-4.21,426.33亿|2025年报,445.08亿|2024年报,464.55亿|2023年报,455.16亿|2022年报,3158.58亿|2025年报,633.36亿|2024年报,924.61亿|2023年报,90.98|2026一季报,-,银行Ⅱ,银行-银行Ⅱ-股份制银行Ⅲ,银行-股份制银行Ⅱ-股份制银行Ⅲ,【HS300_】【MSCI中国】【互联网金融】【价值股】【区块链】【大盘价值】【大盘股】【富时罗素】【机构重仓】【标准普尔】【深圳特区】【深成500】【深股通】【深证100R】【破净股】【融资融券】【证金持股】【跨境支付】【长期破净】,(一)吸收公众存款;(二)发放短期、中期和长期贷款;(三)办理国内外结算;(四)办理票据承兑与贴现;(五)发行金融债券;(六)代理发行、代理兑付、承销政府债券;(七)买卖政府债券、金融债券;(八)从事同业拆借;(九)买卖、代理买卖外汇;(十)从事银行卡业务;(十一)提供信用证服务及担保;(十二)代理收付款项及代理保险业务;(十三)提供保管箱服务;(十四)结汇、售汇业务;(十五)离岸银行业务;(十六)资产托管业务;(十七)办理黄金业务;(十八)财务顾问、资信调查、咨询、见证业务;(十九)经有关监管机构批准的其他业务,10.99,-0.81,-2.89,2.79,-,-6.17,302.76亿,565.59亿,660.08亿,-,1031.96亿,13.88,26.43,29.45,-,43.47,57.16亿,-,84.35亿,63.72亿,63.99亿,-0.06,11.11,10.96,0.50,1.07,9747.42万,10.75亿,3.67,2132.68亿,false,-
71,601668,中国建筑,SH,4.93,-0.20,1,上交所主板,否,A股,5.14,4.81,4.50,4.93,2037.10亿,4.93,5.37,0.41,42.34,42.54,43.04,43.32,43.36,0.32,0.34,0.44,0.52,0.54,5.51,5.50,5.46,5.44,5.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.90|2025年报,9.86|2024年报,9.83|2023年报,8.15|2025年报,10.36|2024年报,13.36|2023年报,-4.81,2.08万亿|2025年报,2.19万亿|2024年报,2.27万亿|2023年报,2.06万亿|2022年报,-15.42,390.69亿|2025年报,461.94亿|2024年报,542.64亿|2023年报,509.50亿|2022年报,205.37亿|2025年报,158.26亿|2024年报,110.30亿|2023年报,76.80|2026一季报,35.53|2026一季报,房屋建设Ⅱ,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,【HS300_】【MSCI中国】【PPP模式】【一带一路】【上证180_】【上证50_】【中字头】【中特估】【大盘价值】【大盘股】【央国企改革】【富时罗素】【工程建设】【数字孪生】【机构重仓】【标准普尔】【沪股通】【破净股】【融资融券】【行业龙头】【装配建筑】【证金持股】【长期破净】,"主要投资方向为房地产开发、融投资建造、城镇综合建设等领域。公司强化内部资源整合与业务协同,打造“规划设计、投资开发、基础设施建设、房屋建筑工程”“四位一体”的商业模式,为城市建设提供全领域、全过程、全要素的一揽子服务",4.93,-1.60,-2.34,-5.87,-,-0.91,280.20亿,856.83亿,632.24亿,-,866.99亿,13.75,41.02,28.30,-,36.88,116.92亿,-,152.39亿,102.05亿,111.43亿,-0.01,4.97,4.92,0.51,0.90,2.10亿,10.39亿,3.67,2037.10亿,false,
